;parent;name;inner.name
0;Parents should not allow young people to live at home again after graduating;Should young adults live with their parents?;What percentage of young adults live with their parents?
1;Parents should not allow young people to live at home again after graduating;Should young adults live with their parents?;What percentage of Millennials still live with their parents?
2;Parents should not allow young people to live at home again after graduating;How long did you live with your parents after college?;Should I live at home during college?
3;Parents should not allow young people to live at home again after graduating;How long did you live with your parents after college?;How do you live after college?
4;Parents should not allow young people to live at home again after graduating;What percentage of college graduates live at home?;How much money over a lifetime does a college graduate make than a high school graduate?
5;Parents should not allow young people to live at home again after graduating;What percentage of college graduates live at home?;How long does it take for college graduate to find job?
6;Parents should not allow young people to live at home again after graduating;What percentage of college graduates live at home?;What should I do after graduating college?
7;Parents should not allow young people to live at home again after graduating;Is it shameful to live with your parents?;How do I survive living with my parents?
8;Parents should not allow young people to live at home again after graduating;Is it shameful to live with your parents?;Is it illegal to live at your business?
9;Parents should not allow young people to live at home again after graduating;Is it shameful to live with your parents?;Are you living with your parents?
