;parent;name;inner.name
0;Pay state school teachers based on merit;Does merit pay for teachers have merit?;What is the difference between merit pay and incentive pay?
1;Pay state school teachers based on merit;Does merit pay for teachers have merit?;What kind of teachers get paid the most?
2;Pay state school teachers based on merit;Is merit pay for teachers effective?;What are the advantages and disadvantages of merit pay?
3;Pay state school teachers based on merit;Is merit pay for teachers effective?;Should teachers get paid more based on performance?
4;Pay state school teachers based on merit;Is merit pay for teachers effective?;Do teachers get Christmas bonus?
5;Pay state school teachers based on merit;Should teachers be paid more?;Should teachers be paid more than doctors?
6;Pay state school teachers based on merit;Should teachers be paid more?;Do teachers get paid in the summer?
7;Pay state school teachers based on merit;Should teachers be paid more?;Do teachers make good money?
8;Pay state school teachers based on merit;Should teachers be paid based on performance pros and cons?;How much should teachers be paid?
9;Pay state school teachers based on merit;Should teachers be paid based on performance pros and cons?;What is merit pay plan?
10;Pay state school teachers based on merit;Should teachers be paid based on performance pros and cons?;What is teacher performance pay?
