;parent;name;inner.name
0;Pensions should be privatised;Why Privatizing Social Security is a good idea?;How much would it cost to privatize Social Security?
1;Pensions should be privatised;Why Privatizing Social Security is a good idea?;How long will the Social Security trust fund last?
2;Pensions should be privatised;What would privatizing Social Security mean?;
3;Pensions should be privatised;What would privatizing Social Security mean?;
4;Pensions should be privatised;What would privatizing Social Security mean?;
5;Pensions should be privatised;Can Social Security be privatized?;What is Medicare privatization?
6;Pensions should be privatised;Can Social Security be privatized?;How efficient is Social Security?
7;Pensions should be privatised;Can Social Security be privatized?;Does Sweden have privatized Social Security?
8;Pensions should be privatised;Do employees contribute to pension plans?;
9;Pensions should be privatised;Do employees contribute to pension plans?;
10;Pensions should be privatised;Do employees contribute to pension plans?;
