;parent;name;inner.name
0;People should become vegetarian;Should people become vegetarian?;Do vegans live longer?
1;People should become vegetarian;Should people become vegetarian?;Why vegetarian diet is bad?
2;People should become vegetarian;Why do people become vegetarian?;What are the advantages of being a vegetarian?
3;People should become vegetarian;Why do people become vegetarian?;Why you should not eat meat?
4;People should become vegetarian;Why do people become vegetarian?;How can I convert to vegetarian?
5;People should become vegetarian;Should we all become vegetarians essay?;Why being vegetarian is good?
6;People should become vegetarian;Should we all become vegetarians essay?;Is vegetarian healthier than vegan?
7;People should become vegetarian;Should we all become vegetarians essay?;Can anyone be a vegetarian?
8;People should become vegetarian;Are vegetarians healthier than meat eaters?;What is the healthiest diet in the world?
9;People should become vegetarian;Are vegetarians healthier than meat eaters?;Do vegans get cancer?
10;People should become vegetarian;Are vegetarians healthier than meat eaters?;Which of the following is a health benefit of a vegetarian diet?
