;parent;name;inner.name
0;People should lose their jobs for saying the wrong thing;What should you not say at work?;What can you say to encourage someone at work?
1;People should lose their jobs for saying the wrong thing;What should you not say at work?;How do you stop coworkers you don't like?
2;People should lose their jobs for saying the wrong thing;How do you help someone who lost their job?;What to do if your parents lose their job?
3;People should lose their jobs for saying the wrong thing;How do you help someone who lost their job?;How do you help someone get a job?
4;People should lose their jobs for saying the wrong thing;What to say when you lose your job?;Is losing your job the end of the world?
5;People should lose their jobs for saying the wrong thing;What to say when you lose your job?;What can I claim if I lose my job?
6;People should lose their jobs for saying the wrong thing;What to say when you lose your job?;What to do when you quit your job?
7;People should lose their jobs for saying the wrong thing;How do I tell my boss I have no?;How do I tell my boss I don't like my job?
8;People should lose their jobs for saying the wrong thing;How do I tell my boss I have no?;How do you politely say no?
9;People should lose their jobs for saying the wrong thing;How do I tell my boss I have no?;How do you politely say no in an email?
