;parent;name;inner.name
0;Plastic Bags should be banned;Should plastic bags be banned in grocery stores?;Should plastic bags be banned yes or no?
1;Plastic Bags should be banned;Should plastic bags be banned in grocery stores?;Should plastic water bottles be banned?
2;Plastic Bags should be banned;Should plastic bags be banned essay?;Is ban on plastic bags justified?
3;Plastic Bags should be banned;Should plastic bags be banned essay?;Should plastic bags be banned facts?
4;Plastic Bags should be banned;Should plastic bags be banned essay?;Why we should avoid plastic bags?
5;Plastic Bags should be banned;Why plastic bags are banned?;Which country banned plastic bags?
6;Plastic Bags should be banned;Why plastic bags are banned?;Which type of plastic bags are banned?
7;Plastic Bags should be banned;Why plastic bags are banned?;Which countries have banned single use plastic?
8;Plastic Bags should be banned;Why you shouldn't use plastic bags?;What are the advantages of banning plastic bags?
9;Plastic Bags should be banned;Why you shouldn't use plastic bags?;What will happen if we keep using plastic?
10;Plastic Bags should be banned;Why you shouldn't use plastic bags?;What can I use instead of plastic bags?
