;parent;name;inner.name
0;Post Office Should Be Privatized;Should the US postal service be privatized?;When was USPS privatized?
1;Post Office Should Be Privatized;Should the US postal service be privatized?;Does the post office accept FedEx packages?
2;Post Office Should Be Privatized;Should the US postal service be privatized?;Has the US Postal Service been privatized?
3;Post Office Should Be Privatized;Should the US postal service be privatized?;Is the post office Privatised?
4;Post Office Should Be Privatized;Should the US postal service be privatized?;What does privatizing USPS mean?
5;Post Office Should Be Privatized;Has the US Postal Service been privatized?;Is the post office in debt?
6;Post Office Should Be Privatized;Has the US Postal Service been privatized?;Are postal workers federal employees?
7;Post Office Should Be Privatized;Has the US Postal Service been privatized?;Is the post office Privatised?
8;Post Office Should Be Privatized;Has the US Postal Service been privatized?;What does privatizing USPS mean?
9;Post Office Should Be Privatized;Is the post office Privatised?;Who is the head of the post office?
10;Post Office Should Be Privatized;Is the post office Privatised?;Is the post office Nationalised?
11;Post Office Should Be Privatized;Is the post office Privatised?;What does privatizing USPS mean?
12;Post Office Should Be Privatized;What does privatizing USPS mean?;Did USPS rates go up?
13;Post Office Should Be Privatized;What does privatizing USPS mean?;Does the post office pay for itself?
