;parent;name;inner.name
0;Power only has two dimensions;What is the second dimension of power?;What are the dimension of power?
1;Power only has two dimensions;What is the second dimension of power?;What are Luke's three dimensions power?
2;Power only has two dimensions;What are the two faces of power?;What is the concept of power?
3;Power only has two dimensions;What are the two faces of power?;What is mobilization of bias?
4;Power only has two dimensions;What are the three dimensions of power?;What is Stephen Luke's classic definition of power?
5;Power only has two dimensions;What are the three dimensions of power?;How does Robert Dahl define power?
6;Power only has two dimensions;What are the three dimensions of power?;Is Steven Lukes a Marxist?
7;Power only has two dimensions;What is episodic power?;What is power in international relations?
8;Power only has two dimensions;What is episodic power?;What is power work theory?
9;Power only has two dimensions;What is episodic power?;What is power theory in international relations?
