;parent;name;inner.name
0;Public Transport Should Be Free;Which city has free public transport?;Is public transport free in Tallinn?
1;Public Transport Should Be Free;Which city has free public transport?;Should public transport be free for everyone?
2;Public Transport Should Be Free;Does free public transport work?;Is public transport cheaper than driving Australia?
3;Public Transport Should Be Free;Does free public transport work?;Is public transport profitable?
4;Public Transport Should Be Free;Does free public transport work?;Are buses free on Earth Day?
5;Public Transport Should Be Free;Why should we pay for public transport?;Is public transport too expensive?
6;Public Transport Should Be Free;Why should we pay for public transport?;Is public transport Subsidised?
7;Public Transport Should Be Free;Why should we pay for public transport?;Why we should use public transport essay?
8;Public Transport Should Be Free;Does public transportation pay for itself?;Do taxpayers pay for public transportation?
9;Public Transport Should Be Free;Does public transportation pay for itself?;How much does it cost to get on the city bus?
