;parent;name;inner.name
0;Raise The School Leaving Age To 18;What year was the school leaving age raised to 18?;Is it illegal to leave school at 16?
1;Raise The School Leaving Age To 18;What year was the school leaving age raised to 18?;What was the school leaving age before 1944?
2;Raise The School Leaving Age To 18;What year was the school leaving age raised to 18?;What was the school leaving age in 1940?
3;Raise The School Leaving Age To 18;What year was the school leaving age raised to 18?;When was the school leaving age raised to 18 in the UK?
4;Raise The School Leaving Age To 18;What year was the school leaving age raised to 18?;Should the school leaving age be lowered?
5;Raise The School Leaving Age To 18;What was the school leaving age in 1940?;When did education until 18 became compulsory?
6;Raise The School Leaving Age To 18;What was the school leaving age in 1940?;What is the school leaving age in Ireland?
7;Raise The School Leaving Age To 18;What was the school leaving age in 1940?;Can you leave school at 16 in Wales?
8;Raise The School Leaving Age To 18;What was the school leaving age in 1940?;When was the school leaving age raised to 18 in the UK?
9;Raise The School Leaving Age To 18;What was the school leaving age in 1940?;Should the school leaving age be lowered?
10;Raise The School Leaving Age To 18;When was the school leaving age raised to 18 in the UK?;Can I leave school at 15 if I have a job?
11;Raise The School Leaving Age To 18;When was the school leaving age raised to 18 in the UK?;What benefits can a 16 year old claim?
12;Raise The School Leaving Age To 18;When was the school leaving age raised to 18 in the UK?;Can a 16 year old work?
13;Raise The School Leaving Age To 18;When was the school leaving age raised to 18 in the UK?;Should the school leaving age be lowered?
14;Raise The School Leaving Age To 18;Should the school leaving age be lowered?;Should the school leaving age be 17?
15;Raise The School Leaving Age To 18;Should the school leaving age be lowered?;Should everyone be forced to stay at school until they are 18?
16;Raise The School Leaving Age To 18;Should the school leaving age be lowered?;Should kids stay in school until they are 18?
