;parent;name;inner.name
0;Reheat tea in the microwave;Is it safe to reheat tea in microwave?;Does microwaving tea destroy antioxidants?
1;Reheat tea in the microwave;Is it safe to reheat tea in microwave?;Is microwaving water dangerous?
2;Reheat tea in the microwave;Does microwaving tea ruin it?;Can you heat water in microwave for tea?
3;Reheat tea in the microwave;Does microwaving tea ruin it?;How do you heat milk in the microwave?
4;Reheat tea in the microwave;Does microwaving tea ruin it?;Why is microwaving bad?
5;Reheat tea in the microwave;Is it safe to reheat tea?;Is water heated in microwave safe to drink?
6;Reheat tea in the microwave;Is it safe to reheat tea?;How do you warm tea?
7;Reheat tea in the microwave;Is it safe to reheat tea?;Can I reheat cow's milk for my baby?
8;Reheat tea in the microwave;How do you heat up tea without a microwave?;Can I reheat rice?
9;Reheat tea in the microwave;How do you heat up tea without a microwave?;How do you reheat a curry in the oven?
10;Reheat tea in the microwave;How do you heat up tea without a microwave?;How do you heat coffee in a coffee maker?
