;parent;name;inner.name
0;Roger Federer Is Not the Greatest Tennis Player of All Time;Is Roger Federer the greatest tennis player of all time?;Who is the best tennis player 2018?
1;Roger Federer Is Not the Greatest Tennis Player of All Time;Is Roger Federer the greatest tennis player of all time?;Why Roger Federer is greatest of all time?
2;Roger Federer Is Not the Greatest Tennis Player of All Time;Who is considered the greatest tennis player of all time?;Who is number 1 ranked male tennis player?
3;Roger Federer Is Not the Greatest Tennis Player of All Time;Who is considered the greatest tennis player of all time?;Who is the richest tennis player of all time?
4;Roger Federer Is Not the Greatest Tennis Player of All Time;Who is considered the greatest tennis player of all time?;Who is the best tennis player currently?
5;Roger Federer Is Not the Greatest Tennis Player of All Time;Who is greatest Federer or Nadal?;Who has won more Grand Slams Nadal or Djokovic?
6;Roger Federer Is Not the Greatest Tennis Player of All Time;Who is greatest Federer or Nadal?;Who has beaten Djokovic the most?
7;Roger Federer Is Not the Greatest Tennis Player of All Time;Who is greatest Federer or Nadal?;Is Rafael Nadal the greatest tennis player of all time?
8;Roger Federer Is Not the Greatest Tennis Player of All Time;Which tennis player has won the most titles?;Which tennis players have won all 4 Grand Slams?
9;Roger Federer Is Not the Greatest Tennis Player of All Time;Which tennis player has won the most titles?;Who has been number 1 in tennis the longest?
10;Roger Federer Is Not the Greatest Tennis Player of All Time;Which tennis player has won the most titles?;Who won most Masters 1000 titles?
