;parent;name;inner.name
0;School Uniforms Should Be Mandatory;Are school uniforms necessary?;Are school uniforms a good idea?
1;School Uniforms Should Be Mandatory;Are school uniforms necessary?;Why are school uniforms a bad idea?
2;School Uniforms Should Be Mandatory;Why uniforms should not be mandatory?;Why you should not wear school uniforms?
3;School Uniforms Should Be Mandatory;Why uniforms should not be mandatory?;Do school uniforms improve grades?
4;School Uniforms Should Be Mandatory;Why uniforms should not be mandatory?;Why uniforms should be banned?
5;School Uniforms Should Be Mandatory;Should uniforms be mandatory in schools essay?;Should schools do away with uniforms?
6;School Uniforms Should Be Mandatory;Should uniforms be mandatory in schools essay?;Should uniforms be mandatory for teachers?
7;School Uniforms Should Be Mandatory;Should uniforms be mandatory in schools essay?;Why is it important to wear a school uniform?
8;School Uniforms Should Be Mandatory;Do you think that school uniforms should be compulsory?;Why school uniforms should not be banned?
9;School Uniforms Should Be Mandatory;Do you think that school uniforms should be compulsory?;Why Should school uniforms be banned?
10;School Uniforms Should Be Mandatory;Do you think that school uniforms should be compulsory?;Why should we not have school uniforms?
