;parent;name;inner.name
0;School uniforms must be banned;Why student should not wear uniforms?;Why uniforms should not be mandatory?
1;School uniforms must be banned;Why student should not wear uniforms?;Are school uniforms uncomfortable?
2;School uniforms must be banned;What is bad about school uniforms?;Should all school uniform be banned?
3;School uniforms must be banned;What is bad about school uniforms?;Do school uniforms improve attendance?
4;School uniforms must be banned;What is bad about school uniforms?;Does wearing uniforms affect students?
5;School uniforms must be banned;Should students wear uniforms?;Do school uniforms improve grades?
6;School uniforms must be banned;Should students wear uniforms?;Why it is important to wear a school uniform?
7;School uniforms must be banned;Should students wear uniforms?;Should school uniforms be abolished?
8;School uniforms must be banned;Do uniforms make schools better?;Do uniforms make schools safer?
9;School uniforms must be banned;Do uniforms make schools better?;Are school uniforms a good idea?
10;School uniforms must be banned;Do uniforms make schools better?;Are school uniforms beneficial?
