;parent;name;inner.name
0;Should Turkey Be Accepted In The EU;Should Turkey join the EU?;Is Turkey part of the EU 2019?
1;Should Turkey Be Accepted In The EU;Should Turkey join the EU?;Is Turkey in the customs union?
2;Should Turkey Be Accepted In The EU;Is Turkey going to be part of the EU?;Is Turkey considered Europe?
3;Should Turkey Be Accepted In The EU;Is Turkey going to be part of the EU?;Is Turkey in Europe or Middle East?
4;Should Turkey Be Accepted In The EU;Is Turkey going to be part of the EU?;Is Turkey part of Schengen?
5;Should Turkey Be Accepted In The EU;How would Turkey benefit from joining the EU?;Do I need a Turkish visa?
6;Should Turkey Be Accepted In The EU;How would Turkey benefit from joining the EU?;Which countries do not need visa for Turkey?
7;Should Turkey Be Accepted In The EU;How would Turkey benefit from joining the EU?;Can you get a Turkish visa on arrival?
8;Should Turkey Be Accepted In The EU;Why did Turkey join the EU?;Why did Switzerland not join the EU?
9;Should Turkey Be Accepted In The EU;Why did Turkey join the EU?;Is Istanbul in Europe?
10;Should Turkey Be Accepted In The EU;Why did Turkey join the EU?;Is Turkey a developed country?
