;parent;name;inner.name
0;Smoking in public spaces should be banned;Should smoking be banned in public places essay?;Should cigarette be banned from society?
1;Smoking in public spaces should be banned;Should smoking be banned in public places essay?;Should smoking be legal?
2;Smoking in public spaces should be banned;What are the benefits of banning smoking in public places?;Why smoking is banned?
3;Smoking in public spaces should be banned;What are the benefits of banning smoking in public places?;Why has smoking been banned in public places?
4;Smoking in public spaces should be banned;What are the benefits of banning smoking in public places?;Is smoking bad for the environment?
5;Smoking in public spaces should be banned;Why should smoking be banned in restaurants?;Which states allow smoking in bars?
6;Smoking in public spaces should be banned;Why should smoking be banned in restaurants?;Can you smoke in bars in USA?
7;Smoking in public spaces should be banned;Why should smoking be banned in restaurants?;Should smoking be banned in restaurants essay?
8;Smoking in public spaces should be banned;Should smoking be banned essay?;Should tobacco be made illegal?
9;Smoking in public spaces should be banned;Should smoking be banned essay?;When was smoking banned in public places?
