;parent;name;inner.name
0;Social Media should be part of the curriculum;How is social media useful for students?;What are the advantages of social media to students?
1;Social Media should be part of the curriculum;How is social media useful for students?;How is social media useful?
2;Social Media should be part of the curriculum;Should social media be allowed in school?;How can social media be used in the classroom?
3;Social Media should be part of the curriculum;Should social media be allowed in school?;Should schools block social media?
4;Social Media should be part of the curriculum;Should social media be allowed in school?;Why is social media good for schools?
5;Social Media should be part of the curriculum;How does media help in education?;How does social media negatively affect education?
6;Social Media should be part of the curriculum;How does media help in education?;How social media affects school performance?
7;Social Media should be part of the curriculum;How does media help in education?;What are the benefits of using social media?
8;Social Media should be part of the curriculum;How Social Media Affects Students Education?;How social media affect our lives?
9;Social Media should be part of the curriculum;How Social Media Affects Students Education?;How can social media be used for education?
10;Social Media should be part of the curriculum;How Social Media Affects Students Education?;How using social media affects teenagers?
