;parent;name;inner.name
0;South Africa should host an Olympics;Should South Africa host the Olympics?;Will Africa ever host the Olympics?
1;South Africa should host an Olympics;Should South Africa host the Olympics?;Which country has never hosted the Olympic Games?
2;South Africa should host an Olympics;When did South Africa host the Olympics?;When was South Africa banned from the Olympics?
3;South Africa should host an Olympics;When did South Africa host the Olympics?;Will India host Olympics?
4;South Africa should host an Olympics;When did South Africa host the Olympics?;Which country has hosted the most Olympics?
5;South Africa should host an Olympics;Has any African country ever hosted an Olympic Games?;Who will host the 2024 Olympics?
6;South Africa should host an Olympics;Has any African country ever hosted an Olympic Games?;Who has the 2024 Olympics?
7;South Africa should host an Olympics;Has any African country ever hosted an Olympic Games?;How many countries participate in the Olympics?
8;South Africa should host an Olympics;Can Detroit host the Olympics?;What countries are banned from the Olympics?
9;South Africa should host an Olympics;Can Detroit host the Olympics?;Do all countries participate in the Olympics?
10;South Africa should host an Olympics;Can Detroit host the Olympics?;How many countries participate in the Olympics 2018?
