;parent;name;inner.name
0;Sports Have Became More About Making Money Than Playing Well;What is the #1 sport in the world?;What are the top 10 most watched sporting events in the world?
1;Sports Have Became More About Making Money Than Playing Well;What is the #1 sport in the world?;What is the most watched event in the world?
2;Sports Have Became More About Making Money Than Playing Well;What professional sport makes the most money?;Who is the richest athlete ever?
3;Sports Have Became More About Making Money Than Playing Well;What professional sport makes the most money?;What pro sport players makes the most money?
4;Sports Have Became More About Making Money Than Playing Well;What professional sport makes the most money?;Who is the lowest paid NBA player?
5;Sports Have Became More About Making Money Than Playing Well;Why are professional sports important?;Why are sports important in high school?
6;Sports Have Became More About Making Money Than Playing Well;Why are professional sports important?;What are the positive effects of sports?
7;Sports Have Became More About Making Money Than Playing Well;Why are professional sports important?;Why is it important to play sports?
8;Sports Have Became More About Making Money Than Playing Well;Why do we enjoy watching sports?;Do you enjoy watching sports?
9;Sports Have Became More About Making Money Than Playing Well;Why do we enjoy watching sports?;Why do you like basketball?
10;Sports Have Became More About Making Money Than Playing Well;Why do we enjoy watching sports?;Why do we like competition?
