;parent;name;inner.name
0;Stop sending development aid to India;Does Britain still give aid to India?;How much aid do we give to Pakistan?
1;Stop sending development aid to India;Does Britain still give aid to India?;How much does Britain spend on foreign aid?
2;Stop sending development aid to India;How much foreign aid does India give?;How many countries receive foreign aid from the US?
3;Stop sending development aid to India;How much foreign aid does India give?;How much do we spend on foreign aid?
4;Stop sending development aid to India;How much foreign aid does India give?;Does the US receive foreign aid?
5;Stop sending development aid to India;How much aid does India receive?;How much aid does Ethiopia receive?
6;Stop sending development aid to India;How much aid does India receive?;What is ODA?
7;Stop sending development aid to India;How much aid does India receive?;What is Net official development assistance?
8;Stop sending development aid to India;How much aid does Canada give to India?;Is Canada allies with India?
9;Stop sending development aid to India;How much aid does Canada give to India?;How much aid does Canada give?
10;Stop sending development aid to India;How much aid does Canada give to India?;Which countries spend the most on foreign aid?
