;parent;name;inner.name
0;Stop the Olympic Games;Why did Olympics end?;Why are the Olympics every 4 years?
1;Stop the Olympic Games;Why did Olympics end?;Is pankration still an Olympic sport?
2;Stop the Olympic Games;Will the Olympics ever end?;Who has the 2024 Olympics?
3;Stop the Olympic Games;Will the Olympics ever end?;Who will host the 2024 Olympics?
4;Stop the Olympic Games;Will the Olympics ever end?;Where are the Olympics for the next 20 years?
5;Stop the Olympic Games;Why did Theodosius discontinue the Olympic Games?;Who abolished the Olympic Games in 394?
6;Stop the Olympic Games;Why did Theodosius discontinue the Olympic Games?;What did Theodosius decided to do after his death?
7;Stop the Olympic Games;Why did Theodosius discontinue the Olympic Games?;Which Roman emperor had banned the Olympic Games?
8;Stop the Olympic Games;Who Councilled to stop the old Olympic Games?;Why did Baron Pierre de Coubertin start the Olympics?
9;Stop the Olympic Games;Who Councilled to stop the old Olympic Games?;What is the Olympic motto?
10;Stop the Olympic Games;Who Councilled to stop the old Olympic Games?;Who started the Olympic Games?
