;parent;name;inner.name
0;Store nuclear waste underground;Is nuclear waste stored underground?;Can we dump nuclear waste in space?
1;Store nuclear waste underground;Is nuclear waste stored underground?;Why is Yucca Mountain a good site for nuclear waste?
2;Store nuclear waste underground;What is the proper way to dispose of nuclear waste?;How does France dispose of its nuclear waste?
3;Store nuclear waste underground;What is the proper way to dispose of nuclear waste?;Why is it difficult to dispose of nuclear waste?
4;Store nuclear waste underground;What is the proper way to dispose of nuclear waste?;How can we stop nuclear waste?
5;Store nuclear waste underground;Where is nuclear waste stored?;How much waste does a nuclear power plant produce per year?
6;Store nuclear waste underground;Where is nuclear waste stored?;How long do spent fuel rods remain dangerously radioactive?
7;Store nuclear waste underground;Where is nuclear waste stored?;What disabled the emergency power generators at the Fukushima Daiichi nuclear plant in Japan and led to the reactor meltdowns?
8;Store nuclear waste underground;How long does nuclear waste need to be stored?;Can nuclear waste explode like a nuclear bomb?
9;Store nuclear waste underground;How long does nuclear waste need to be stored?;What does nuclear waste do to the environment?
10;Store nuclear waste underground;How long does nuclear waste need to be stored?;Is nuclear waste dangerous?
