;parent;name;inner.name
0;Students should have to wear school uniforms;Should students have to wear school uniforms?;Why students should not wear uniforms facts?
1;Students should have to wear school uniforms;Should students have to wear school uniforms?;Why students should not wear uniforms?
2;Students should have to wear school uniforms;Why should students have school uniforms?;Are school uniforms beneficial?
3;Students should have to wear school uniforms;Why should students have school uniforms?;Do school uniforms improve grades?
4;Students should have to wear school uniforms;Why should students have school uniforms?;Why students should not wear uniforms persuasive essay?
5;Students should have to wear school uniforms;Should students wear uniforms debate?;Why are school uniforms a bad idea?
6;Students should have to wear school uniforms;Should students wear uniforms debate?;Why should schools have uniforms 3 reasons?
7;Students should have to wear school uniforms;Should students wear uniforms debate?;Should uniforms be compulsory in schools?
8;Students should have to wear school uniforms;What are the benefits of school uniforms?;Why did school uniforms start?
9;Students should have to wear school uniforms;What are the benefits of school uniforms?;Are school uniforms comfortable?
10;Students should have to wear school uniforms;What are the benefits of school uniforms?;Are school uniforms a good idea?
