;parent;name;inner.name
0;Taxes on smoothies and fruit juices should be reduced;What size smoothie should I drink?;Is it healthy to have a fruit smoothie everyday?
1;Taxes on smoothies and fruit juices should be reduced;What size smoothie should I drink?;Can you put too much fruit in a smoothie?
2;Taxes on smoothies and fruit juices should be reduced;Are smoothies as bad as juice?;Are Innocent smoothies bad for you?
3;Taxes on smoothies and fruit juices should be reduced;Are smoothies as bad as juice?;Is Blending healthier than juicing?
4;Taxes on smoothies and fruit juices should be reduced;Are smoothies as bad as juice?;Are smoothies better with milk or juice?
5;Taxes on smoothies and fruit juices should be reduced;Are fruit smoothies Vatable?;Is fruit VAT exempt?
6;Taxes on smoothies and fruit juices should be reduced;Are fruit smoothies Vatable?;Are crisps VATable?
7;Taxes on smoothies and fruit juices should be reduced;How many smoothies should you drink a day?;Does smoothies help you lose weight?
8;Taxes on smoothies and fruit juices should be reduced;How many smoothies should you drink a day?;Can smoothies replace meals?
9;Taxes on smoothies and fruit juices should be reduced;How many smoothies should you drink a day?;Is it OK to drink a green smoothie every day?
