;parent;name;inner.name
0;Teachers should get merit pay;Does merit pay work for teachers?;What is the difference between merit pay and incentive pay?
1;Teachers should get merit pay;Does merit pay work for teachers?;What kind of teachers get paid the most?
2;Teachers should get merit pay;What is merit pay education?;What is a merit pay increase?
3;Teachers should get merit pay;What is merit pay education?;What are the advantages and disadvantages of merit pay?
4;Teachers should get merit pay;What is merit pay education?;How much do teachers get paid a week?
5;Teachers should get merit pay;Does merit pay for teachers have merit?;Do teachers get Christmas bonus?
6;Teachers should get merit pay;Does merit pay for teachers have merit?;Should teachers get paid more based on performance?
7;Teachers should get merit pay;Does merit pay for teachers have merit?;Should schools get cash bonuses from the state for high test scores?
8;Teachers should get merit pay;Should teachers be paid based on performance pros and cons?;Should teachers be paid more?
9;Teachers should get merit pay;Should teachers be paid based on performance pros and cons?;How much should teachers be paid?
10;Teachers should get merit pay;Should teachers be paid based on performance pros and cons?;What is teacher performance pay?
