;parent;name;inner.name
0;Teachers should get tenure;How many years does a teacher have to work to get tenure?;How hard is it to fire a teacher with tenure?
1;Teachers should get tenure;How many years does a teacher have to work to get tenure?;Do teachers still get tenure?
2;Teachers should get tenure;What does it mean to get tenure as a teacher?;Can a professor with tenure be fired?
3;Teachers should get tenure;What does it mean to get tenure as a teacher?;How can I get tenure?
4;Teachers should get tenure;What does it mean to get tenure as a teacher?;Can teachers get fired for cursing?
5;Teachers should get tenure;Is Teacher Tenure Still Necessary?;Can tenured teachers be laid off?
6;Teachers should get tenure;Is Teacher Tenure Still Necessary?;How many tenured teachers are fired?
7;Teachers should get tenure;Is Teacher Tenure Still Necessary?;Can teachers lose tenure?
8;Teachers should get tenure;What are the benefits of tenure for teachers?;Why does teacher tenure exist?
9;Teachers should get tenure;What are the benefits of tenure for teachers?;Does offering tenure increase or decrease quality of teaching?
10;Teachers should get tenure;What are the benefits of tenure for teachers?;How do you get tenure?
