;parent;name;inner.name
0;The 2022 Football World Cup must be moved to the winter;Is the 2022 World Cup in winter?;Where will the World Cup 2022 be held?
1;The 2022 Football World Cup must be moved to the winter;Is the 2022 World Cup in winter?;Where will the 2026 World Cup be held?
2;The 2022 Football World Cup must be moved to the winter;Is the 2022 World Cup going to be moved?;Is the 2022 World Cup still in Qatar?
3;The 2022 Football World Cup must be moved to the winter;Is the 2022 World Cup going to be moved?;Can Indian football team qualify for World Cup 2022?
4;The 2022 Football World Cup must be moved to the winter;Is the 2022 World Cup going to be moved?;Is Qatar going to lose the World Cup?
5;The 2022 Football World Cup must be moved to the winter;What date is the 2022 World Cup?;Will US qualify for World Cup 2022?
6;The 2022 Football World Cup must be moved to the winter;What date is the 2022 World Cup?;Who is hosting the 2022 World Cup?
7;The 2022 Football World Cup must be moved to the winter;What date is the 2022 World Cup?;Will the 2022 World Cup have 48 teams?
8;The 2022 Football World Cup must be moved to the winter;Is Qatar ready for the 2022 World Cup?;Will Qatar 2022 happen?
9;The 2022 Football World Cup must be moved to the winter;Is Qatar ready for the 2022 World Cup?;How safe is Qatar?
10;The 2022 Football World Cup must be moved to the winter;Is Qatar ready for the 2022 World Cup?;Is Qatar ready for the World Cup?
