;parent;name;inner.name
0;The Catholic Church needs reform;When did the Catholic Church reform?;Was Martin Luther a Catholic priest?
1;The Catholic Church needs reform;When did the Catholic Church reform?;What came first Christianity or Catholicism?
2;The Catholic Church needs reform;Is there a reformed Catholic Church?;What does a Reformed Church believe?
3;The Catholic Church needs reform;Is there a reformed Catholic Church?;What do Reformed Baptists believe?
4;The Catholic Church needs reform;Is there a reformed Catholic Church?;What does reformed mean in theology?
5;The Catholic Church needs reform;What is the most Catholic state?;What is the most Catholic country in the world?
6;The Catholic Church needs reform;What is the most Catholic state?;What percent of the world is Catholic?
7;The Catholic Church needs reform;What is the most Catholic state?;What percentage of the US military is Catholic?
8;The Catholic Church needs reform;Is there a schism in the Catholic Church?;When did the Catholic Church split into Protestant?
9;The Catholic Church needs reform;Is there a schism in the Catholic Church?;Why is Christianity divided?
10;The Catholic Church needs reform;Is there a schism in the Catholic Church?;Can a Catholic receive Communion in another church?
