;parent;name;inner.name
0;The International Criminal Court is a force for good;What can the ICC do?;How does the International Criminal Court work?
1;The International Criminal Court is a force for good;What can the ICC do?;Should the United States join the International Criminal Court?
2;The International Criminal Court is a force for good;What is the purpose of International Criminal Court?;
3;The International Criminal Court is a force for good;What is the purpose of International Criminal Court?;
4;The International Criminal Court is a force for good;What is the purpose of International Criminal Court?;
5;The International Criminal Court is a force for good;What powers does ICC have?;What are the powers of the International Criminal Court?
6;The International Criminal Court is a force for good;What powers does ICC have?;How many judges are in the International Criminal Court?
7;The International Criminal Court is a force for good;What powers does ICC have?;How does the ICC prosecute?
8;The International Criminal Court is a force for good;Why is the International Criminal Court important?;
9;The International Criminal Court is a force for good;Why is the International Criminal Court important?;
10;The International Criminal Court is a force for good;Why is the International Criminal Court important?;
