;parent;name;inner.name
0;The Internet must be censored;What is censored on the Internet in America?;Why are most books banned?
1;The Internet must be censored;What is censored on the Internet in America?;Can an ISP legally block a website?
2;The Internet must be censored;Is censorship of the Internet necessary?;Why does censorship happen?
3;The Internet must be censored;Is censorship of the Internet necessary?;Why do we use censorship?
4;The Internet must be censored;Which countries censor the Internet?;What is illegal to watch on the Internet?
5;The Internet must be censored;Which countries censor the Internet?;How much of the world has internet?
6;The Internet must be censored;Which countries censor the Internet?;What is an enemy of the Internet?
7;The Internet must be censored;Does Internet censorship reduce crime rate?;Is Google censored in the US?
8;The Internet must be censored;Does Internet censorship reduce crime rate?;Is the Internet censored in Saudi Arabia?
9;The Internet must be censored;Does Internet censorship reduce crime rate?;What is censorship machinery?
