;parent;name;inner.name
0;The Private Education System Should Be Abolished;Should private schools be abolished?;Are private schools better than public?
1;The Private Education System Should Be Abolished;Should private schools be abolished?;Are private schools worth the money?
2;The Private Education System Should Be Abolished;Are private schools banned in Finland?;Are private schools allowed in Finland?
3;The Private Education System Should Be Abolished;Are private schools banned in Finland?;Is there homework in Finland?
4;The Private Education System Should Be Abolished;Are private schools banned in Finland?;Which country is #1 in education?
5;The Private Education System Should Be Abolished;Do private schools help to get into college?;Do private schools pay taxes?
6;The Private Education System Should Be Abolished;Do private schools help to get into college?;Is prep school better than public school?
7;The Private Education System Should Be Abolished;Do private schools help to get into college?;Are college prep schools worth the money?
8;The Private Education System Should Be Abolished;How much is private elementary school?;Do I have to pay half of private school?
9;The Private Education System Should Be Abolished;How much is private elementary school?;How much do private schools make?
10;The Private Education System Should Be Abolished;How much is private elementary school?;Are Catholic schools worth it?
