;parent;name;inner.name
0;The Schengen Agreement must be dissolved;Why is the Schengen agreement important?;How does Schengen work?
1;The Schengen Agreement must be dissolved;Why is the Schengen agreement important?;Is UK part of the Schengen Agreement?
2;The Schengen Agreement must be dissolved;What does the Schengen agreement mean?;How long can I stay in Schengen area?
3;The Schengen Agreement must be dissolved;What does the Schengen agreement mean?;What is considered the Schengen area?
4;The Schengen Agreement must be dissolved;What does the Schengen agreement mean?;Does Schengen visa cover Ireland?
5;The Schengen Agreement must be dissolved;Who supports the Schengen Agreement?;Can I enter Bulgaria with Schengen visa?
6;The Schengen Agreement must be dissolved;Who supports the Schengen Agreement?;Is Denmark in the Schengen zone?
7;The Schengen Agreement must be dissolved;Who supports the Schengen Agreement?;Why is Norway not in the EU?
8;The Schengen Agreement must be dissolved;Why is the UK not part of the Schengen Agreement?;Will the UK leave Schengen?
9;The Schengen Agreement must be dissolved;Why is the UK not part of the Schengen Agreement?;Can I join UK with Schengen?
10;The Schengen Agreement must be dissolved;Why is the UK not part of the Schengen Agreement?;What's a Schengen visa?
