;parent;name;inner.name
0;The UK is truly a democracy;Is the UK still a democracy?;Who is the president of UK?
1;The UK is truly a democracy;Is the UK still a democracy?;What can the queen of England do?
2;The UK is truly a democracy;Is England a democracy or monarchy?;Why England has no king?
3;The UK is truly a democracy;Is England a democracy or monarchy?;Can the Queen declare war?
4;The UK is truly a democracy;Is England a democracy or monarchy?;Is the UK still a monarchy?
5;The UK is truly a democracy;What makes the UK democratic?;Is UK a democratic country?
6;The UK is truly a democracy;What makes the UK democratic?;How democracy works in the UK?
7;The UK is truly a democracy;What makes the UK democratic?;Is the UK a social democracy?
8;The UK is truly a democracy;What type of democracy is the UK?;Who is the leader of the UK government?
9;The UK is truly a democracy;What type of democracy is the UK?;When did the UK become a democracy?
10;The UK is truly a democracy;What type of democracy is the UK?;How is the UK governed?
