;parent;name;inner.name
0;The USA Legal Drinking Age Should Be Lowered to 18 From 21;Why is the drinking age 21 and not 18?;Can you drink at 18 in the US?
1;The USA Legal Drinking Age Should Be Lowered to 18 From 21;Why is the drinking age 21 and not 18?;What state is the drinking age 18?
2;The USA Legal Drinking Age Should Be Lowered to 18 From 21;Should the drinking age be lowered from 21 18?;Should the drinking age stay at 21?
3;The USA Legal Drinking Age Should Be Lowered to 18 From 21;Should the drinking age be lowered from 21 18?;Would lowering the drinking age be beneficial?
4;The USA Legal Drinking Age Should Be Lowered to 18 From 21;Should the drinking age be lowered from 21 18?;Will the US ever lower the drinking age?
5;The USA Legal Drinking Age Should Be Lowered to 18 From 21;Should US lower drinking age to 18?;Why should the US lower the drinking age?
6;The USA Legal Drinking Age Should Be Lowered to 18 From 21;Should US lower drinking age to 18?;Should the US lower the drinking age to 18 research paper?
7;The USA Legal Drinking Age Should Be Lowered to 18 From 21;Should US lower drinking age to 18?;What countries can you drink at 18?
8;The USA Legal Drinking Age Should Be Lowered to 18 From 21;Should 18 year olds be allowed to drink?;Why the drinking age should stay at 18?
9;The USA Legal Drinking Age Should Be Lowered to 18 From 21;Should 18 year olds be allowed to drink?;Can 18 year olds drink in California?
10;The USA Legal Drinking Age Should Be Lowered to 18 From 21;Should 18 year olds be allowed to drink?;Why 21 is a good drinking age?
