;parent;name;inner.name
0;The US and Israel should join the International Criminal Court;Why does the US not recognize the International Criminal Court?;Which countries are not members of the International Criminal Court?
1;The US and Israel should join the International Criminal Court;Why does the US not recognize the International Criminal Court?;Does the US recognize the International Court of Justice?
2;The US and Israel should join the International Criminal Court;Should the US join the International Criminal Court?;Can ICC prosecute non member?
3;The US and Israel should join the International Criminal Court;Should the US join the International Criminal Court?;How does the International Criminal Court work?
4;The US and Israel should join the International Criminal Court;Should the US join the International Criminal Court?;Which country left ICC?
5;The US and Israel should join the International Criminal Court;Why did the US not ratify the Rome Statute?;Is the US a member of ICC?
6;The US and Israel should join the International Criminal Court;Why did the US not ratify the Rome Statute?;What is the difference between ICC and ICJ?
7;The US and Israel should join the International Criminal Court;Why did the US not ratify the Rome Statute?;Does the ICC has jurisdiction in the United States?
8;The US and Israel should join the International Criminal Court;Is the International Criminal Court part of the UN?;What is the main purpose of the International Criminal Court?
9;The US and Israel should join the International Criminal Court;Is the International Criminal Court part of the UN?;How many judges are in the International Criminal Court?
10;The US and Israel should join the International Criminal Court;Is the International Criminal Court part of the UN?;What do the International Court of Justice and International Criminal Court not have access to?
