;parent;name;inner.name
0;The US should immediately close Guantanamo Bay.;When did Guantanamo Bay close?;When did waterboarding become illegal?
1;The US should immediately close Guantanamo Bay.;When did Guantanamo Bay close?;Who won the battle of Guantanamo Bay?
2;The US should immediately close Guantanamo Bay.;Are there still prisoners at Guantanamo Bay?;How many prisoners are still at Guantanamo?
3;The US should immediately close Guantanamo Bay.;Are there still prisoners at Guantanamo Bay?;What does waterboarding feel like?
4;The US should immediately close Guantanamo Bay.;Are there still prisoners at Guantanamo Bay?;How many Guantanamo detainees are innocent?
5;The US should immediately close Guantanamo Bay.;What is Guantanamo Bay used for today?;Why does the US use Guantanamo Bay?
6;The US should immediately close Guantanamo Bay.;What is Guantanamo Bay used for today?;What is Guantanamo Bay known for?
7;The US should immediately close Guantanamo Bay.;What is Guantanamo Bay used for today?;Is Cuba a tax free zone for military?
8;The US should immediately close Guantanamo Bay.;How much does it cost to keep a prisoner in Guantanamo Bay?;Do military pay taxes while deployed?
9;The US should immediately close Guantanamo Bay.;How much does it cost to keep a prisoner in Guantanamo Bay?;How many Marines are stationed in Guantanamo?
10;The US should immediately close Guantanamo Bay.;How much does it cost to keep a prisoner in Guantanamo Bay?;Is Egypt tax free for military?
