;parent;name;inner.name
0;The United Nations Security Council should be expanded;Should India be a permanent member of Security Council?;Why is China a permanent member of the Security Council?
1;The United Nations Security Council should be expanded;Should India be a permanent member of Security Council?;How many non permanent members are on the Security Council?
2;The United Nations Security Council should be expanded;Can a permanent member of the UN Security Council be removed?;Is Russia a permanent member of the Security Council?
3;The United Nations Security Council should be expanded;Can a permanent member of the UN Security Council be removed?;Why are the 5 permanent members of the UN Permanent?
4;The United Nations Security Council should be expanded;Can a permanent member of the UN Security Council be removed?;Can a country be removed from the UN Security Council?
5;The United Nations Security Council should be expanded;Is it time to end the veto power of the five permanent members of the UN Security Council?;Should the UN Security Council be abolished?
6;The United Nations Security Council should be expanded;Is it time to end the veto power of the five permanent members of the UN Security Council?;How many times veto power has been used?
7;The United Nations Security Council should be expanded;Is it time to end the veto power of the five permanent members of the UN Security Council?;Who has veto power in the UN?
8;The United Nations Security Council should be expanded;Can India become a permanent member of UN Security Council?;Why are there 5 permanent members of the UN Security Council?
9;The United Nations Security Council should be expanded;Can India become a permanent member of UN Security Council?;Is India a member of UN?
10;The United Nations Security Council should be expanded;Can India become a permanent member of UN Security Council?;Should the UN grant India permanent membership of the Security Council?
