;parent;name;inner.name
0;The United States should use the electoral college in presidential elections.;Why does the US use the Electoral College?;Why the Electoral College Is Important?
1;The United States should use the electoral college in presidential elections.;Why does the US use the Electoral College?;What are the flaws in the electoral college?
2;The United States should use the electoral college in presidential elections.;What are the benefits of the Electoral College?;Will the electoral college ever be abolished?
3;The United States should use the electoral college in presidential elections.;What are the benefits of the Electoral College?;Why popular vote is better than Electoral College?
4;The United States should use the electoral college in presidential elections.;What are the benefits of the Electoral College?;How does the electoral college system work?
5;The United States should use the electoral college in presidential elections.;Should the Electoral College be abolished essay?;Should the Electoral College be abolished outline?
6;The United States should use the electoral college in presidential elections.;Should the Electoral College be abolished essay?;Is the Electoral College outdated essay?
7;The United States should use the electoral college in presidential elections.;Should the Electoral College be abolished essay?;How could the Electoral College be changed or removed?
8;The United States should use the electoral college in presidential elections.;Why did the Founding Fathers create the Electoral College?;Why did the Founding Fathers create the Electoral College quizlet?
9;The United States should use the electoral college in presidential elections.;Why did the Founding Fathers create the Electoral College?;Why did Jefferson use the US Navy against African states?
10;The United States should use the electoral college in presidential elections.;Why did the Founding Fathers create the Electoral College?;How has the Electoral College changed over time?
