;parent;name;inner.name
0;The United States’ individual health insurance mandate is unconstitutional;Is the mandate for individual health insurance coverage constitutional?;Why the ACA is unconstitutional?
1;The United States’ individual health insurance mandate is unconstitutional;Is the mandate for individual health insurance coverage constitutional?;Why the Obamacare tax penalty is unconstitutional?
2;The United States’ individual health insurance mandate is unconstitutional;Is the mandate for individual health insurance coverage constitutional?;Why is individual mandate unconstitutional?
3;The United States’ individual health insurance mandate is unconstitutional;Is the mandate for individual health insurance coverage constitutional?;What part of the Affordable Care Act is unconstitutional?
4;The United States’ individual health insurance mandate is unconstitutional;Is the mandate for individual health insurance coverage constitutional?;Did the Supreme Court rule Obamacare unconstitutional?
5;The United States’ individual health insurance mandate is unconstitutional;Why is individual mandate unconstitutional?;What is unconstitutional about Obama care?
6;The United States’ individual health insurance mandate is unconstitutional;Why is individual mandate unconstitutional?;How many Republicans voted for Obamacare?
7;The United States’ individual health insurance mandate is unconstitutional;Why is individual mandate unconstitutional?;What is the individual mandate penalty?
8;The United States’ individual health insurance mandate is unconstitutional;Why is individual mandate unconstitutional?;What part of the Affordable Care Act is unconstitutional?
9;The United States’ individual health insurance mandate is unconstitutional;Why is individual mandate unconstitutional?;Did the Supreme Court rule Obamacare unconstitutional?
10;The United States’ individual health insurance mandate is unconstitutional;What part of the Affordable Care Act is unconstitutional?;Was Obamacare Unconstitutional?
11;The United States’ individual health insurance mandate is unconstitutional;What part of the Affordable Care Act is unconstitutional?;Will Obamacare ruling be overturned?
12;The United States’ individual health insurance mandate is unconstitutional;What part of the Affordable Care Act is unconstitutional?;Is the Affordable Care Act still in effect 2018?
13;The United States’ individual health insurance mandate is unconstitutional;What part of the Affordable Care Act is unconstitutional?;Did the Supreme Court rule Obamacare unconstitutional?
14;The United States’ individual health insurance mandate is unconstitutional;Did the Supreme Court rule Obamacare unconstitutional?;Is the Patient Protection and Affordable Care Act constitutional?
15;The United States’ individual health insurance mandate is unconstitutional;Did the Supreme Court rule Obamacare unconstitutional?;Which part of the ACA was ruled unconstitutional by the Supreme Court?
16;The United States’ individual health insurance mandate is unconstitutional;Did the Supreme Court rule Obamacare unconstitutional?;Is Obamacare gone 2018?
