;parent;name;inner.name
0;The grammar school system should be reintroduced in the UK;What is a grammar school UK?;Do you have to pay to go to a grammar school?
1;The grammar school system should be reintroduced in the UK;What is a grammar school UK?;What grades are grammar school?
2;The grammar school system should be reintroduced in the UK;Which grammar school is the best in the UK?;What are the top 10 schools in the UK?
3;The grammar school system should be reintroduced in the UK;Which grammar school is the best in the UK?;Why is it called a grammar school?
4;The grammar school system should be reintroduced in the UK;Which grammar school is the best in the UK?;What is the best school in UK?
5;The grammar school system should be reintroduced in the UK;Is grammar school better?;Are grammar schools free?
6;The grammar school system should be reintroduced in the UK;Is grammar school better?;What are the benefits of grammar schools?
7;The grammar school system should be reintroduced in the UK;Is grammar school better?;Do grammar schools get less funding?
8;The grammar school system should be reintroduced in the UK;When did grammar schools stop?;How many grammar schools are in London?
9;The grammar school system should be reintroduced in the UK;When did grammar schools stop?;What is considered grammar school?
10;The grammar school system should be reintroduced in the UK;When did grammar schools stop?;Do grammar schools follow the national curriculum?
