;parent;name;inner.name
0;The iPhone is better than the Blackberry;Is iPhone better than BlackBerry?;Do people still buy BlackBerry phones?
1;The iPhone is better than the Blackberry;Is iPhone better than BlackBerry?;What is the difference between BlackBerry and iPhone?
2;The iPhone is better than the Blackberry;Is BlackBerry safer than iPhone?;Is Apple more secure than BlackBerry?
3;The iPhone is better than the Blackberry;Is BlackBerry safer than iPhone?;Can BlackBerry phones be hacked?
4;The iPhone is better than the Blackberry;Is BlackBerry safer than iPhone?;Are BlackBerry phones still secure?
5;The iPhone is better than the Blackberry;Which BlackBerry phone is the best?;What's the best BlackBerry to buy?
6;The iPhone is better than the Blackberry;Which BlackBerry phone is the best?;Is BlackBerry dead?
7;The iPhone is better than the Blackberry;Which BlackBerry phone is the best?;Are BlackBerry phones still used?
8;The iPhone is better than the Blackberry;Is BlackBerry the most secure phone?;Is BlackBerry KEYone a good phone?
9;The iPhone is better than the Blackberry;Is BlackBerry the most secure phone?;Can a basic phone be hacked?
10;The iPhone is better than the Blackberry;Is BlackBerry the most secure phone?;What is special about BlackBerry phones?
