;parent;name;inner.name
0;The money we spend on our Olympic medal count is money well spent;How much does the US spend on Olympic athletes?;How much is a 1912 Olympic gold medal worth today?
1;The money we spend on our Olympic medal count is money well spent;How much does the US spend on Olympic athletes?;How much do Olympic swimmers get paid?
2;The money we spend on our Olympic medal count is money well spent;How much does the government spend on the Olympics?;How much will the 2020 Olympics cost?
3;The money we spend on our Olympic medal count is money well spent;How much does the government spend on the Olympics?;Has any Olympics make a profit?
4;The money we spend on our Olympic medal count is money well spent;How much does the government spend on the Olympics?;How much does the Olympics cost to attend?
5;The money we spend on our Olympic medal count is money well spent;Did the UK Olympics make a profit?;Was the London Olympics a budget?
6;The money we spend on our Olympic medal count is money well spent;Did the UK Olympics make a profit?;How much money did the Sydney Olympics make?
7;The money we spend on our Olympic medal count is money well spent;Did the UK Olympics make a profit?;How much money did the 2016 Olympics make?
8;The money we spend on our Olympic medal count is money well spent;How much does the UK spend on sport?;How much do lottery funded athletes get paid?
9;The money we spend on our Olympic medal count is money well spent;How much does the UK spend on sport?;How much money do people spend on sports?
10;The money we spend on our Olympic medal count is money well spent;How much does the UK spend on sport?;How is UK Sport funded?
