;parent;name;inner.name
0;The national curriculum should be scrapped;What is the point of the national curriculum?;Is the national curriculum compulsory?
1;The national curriculum should be scrapped;What is the point of the national curriculum?;What are the aims of a curriculum?
2;The national curriculum should be scrapped;Do colleges follow the national curriculum?;Do boarding schools follow the national curriculum?
3;The national curriculum should be scrapped;Do colleges follow the national curriculum?;What happens when a school becomes an academy?
4;The national curriculum should be scrapped;Do colleges follow the national curriculum?;Should students choose their own curriculum?
5;The national curriculum should be scrapped;Why was the national curriculum introduced?;What are the national curriculum subjects?
6;The national curriculum should be scrapped;Why was the national curriculum introduced?;Why is PE in the national curriculum?
7;The national curriculum should be scrapped;Why was the national curriculum introduced?;When did the national curriculum change?
8;The national curriculum should be scrapped;Why do academies not follow the national curriculum?;Can academies choose their own curriculum?
9;The national curriculum should be scrapped;Why do academies not follow the national curriculum?;Do free schools get inspected by Ofsted?
10;The national curriculum should be scrapped;Why do academies not follow the national curriculum?;Who introduced academies?
