;parent;name;inner.name
0;The payment of welfare benefits to parents should be tied to their children's school attendance records;Can a parent go to jail for truancy?;How many days can a child be absent from school?
1;The payment of welfare benefits to parents should be tied to their children's school attendance records;Can a parent go to jail for truancy?;Can parents go to jail for child missing school?
2;The payment of welfare benefits to parents should be tied to their children's school attendance records;Do schools get money based on attendance?;Do schools get paid for excused absences?
3;The payment of welfare benefits to parents should be tied to their children's school attendance records;Do schools get money based on attendance?;How much money do schools get per child?
4;The payment of welfare benefits to parents should be tied to their children's school attendance records;Do schools get money based on attendance?;Do teachers get paid by attendance?
5;The payment of welfare benefits to parents should be tied to their children's school attendance records;Can a parent go to jail for truancy in NY?;How many excused absences are allowed in a school year?
6;The payment of welfare benefits to parents should be tied to their children's school attendance records;Can a parent go to jail for truancy in NY?;How many days of high school can you miss?
7;The payment of welfare benefits to parents should be tied to their children's school attendance records;Can a parent go to jail for truancy in NY?;At what age can you sign your child out of school?
8;The payment of welfare benefits to parents should be tied to their children's school attendance records;What happens the first time you go to court for truancy?;How many days of school can you miss before you fail?
9;The payment of welfare benefits to parents should be tied to their children's school attendance records;What happens the first time you go to court for truancy?;Do truancy laws apply to 18 year olds?
10;The payment of welfare benefits to parents should be tied to their children's school attendance records;What happens the first time you go to court for truancy?;How many excused absences are allowed in a school year pa?
