;parent;name;inner.name
0;The penny should stay in circulation;Why is the penny still in circulation?;Do banks still accept pennies 2018?
1;The penny should stay in circulation;Why is the penny still in circulation?;What year penny is worth a lot of money?
2;The penny should stay in circulation;Should the penny be taken out of circulation?;Are pennies worth it?
3;The penny should stay in circulation;Should the penny be taken out of circulation?;Why we should abolish the penny?
4;The penny should stay in circulation;Should the penny be taken out of circulation?;Was there ever a half penny?
5;The penny should stay in circulation;Why is the Penny important?;What would happen if the penny was eliminated?
6;The penny should stay in circulation;Why is the Penny important?;What is the most valuable penny?
7;The penny should stay in circulation;Why is the Penny important?;Why is there a shield on the penny?
8;The penny should stay in circulation;Will pennies be discontinued?;Are pennies going away?
9;The penny should stay in circulation;Will pennies be discontinued?;Is it legal to pay in pennies?
10;The penny should stay in circulation;Will pennies be discontinued?;How much does it cost to make a penny in 2018?
