;parent;name;inner.name
0;The republican party has lost its way;What has become Republican party?;When did Republicans and Democrats switch?
1;The republican party has lost its way;What has become Republican party?;What issues do Democrats support?
2;The republican party has lost its way;What does the Republican Party stand for?;What are Republican beliefs?
3;The republican party has lost its way;What does the Republican Party stand for?;What does the Democratic Party believe in?
4;The republican party has lost its way;What does the Republican Party stand for?;What is the main focus of the Republican Party?
5;The republican party has lost its way;Who is in charge of the Republican Party?;Who is RNC chair now?
6;The republican party has lost its way;Who is in charge of the Republican Party?;What is a Democrat and a Republican?
7;The republican party has lost its way;Who is in charge of the Republican Party?;Where did Trump grow up?
8;The republican party has lost its way;How did the Republican party start?;Which presidents were Republican or Democrat?
9;The republican party has lost its way;How did the Republican party start?;Who freed the slaves?
10;The republican party has lost its way;How did the Republican party start?;What was the main message of the Republican Party?
