;parent;name;inner.name
0;The welfare system should be replaced with a negative income-tax model;How would a negative income tax work?;Is negative income taxable?
1;The welfare system should be replaced with a negative income-tax model;How would a negative income tax work?;What does a negative amount on a tax return mean?
2;The welfare system should be replaced with a negative income-tax model;Is the EITC a negative income tax?;Can you have negative income?
3;The welfare system should be replaced with a negative income-tax model;Is the EITC a negative income tax?;What does welfare mean in tax summary?
4;The welfare system should be replaced with a negative income-tax model;Is the EITC a negative income tax?;What is basic income tax?
5;The welfare system should be replaced with a negative income-tax model;Why is income tax expense negative?;What is the difference between income tax expense and income tax payable?
6;The welfare system should be replaced with a negative income-tax model;Why is income tax expense negative?;Is income tax an expense or liability?
7;The welfare system should be replaced with a negative income-tax model;Why is income tax expense negative?;At what income is tax payable?
8;The welfare system should be replaced with a negative income-tax model;What is negative amount of federal taxable income?;What if my adjusted gross income is negative?
9;The welfare system should be replaced with a negative income-tax model;What is negative amount of federal taxable income?;What happens if deductions exceed income?
10;The welfare system should be replaced with a negative income-tax model;What is negative amount of federal taxable income?;Can negative taxable income be carried forward?
