;parent;name;inner.name
0;There Is a Mathematical Miracle in the Quran That Proves It Is the Word of God;How is the Quran divided?;How does Muhammad die?
1;There Is a Mathematical Miracle in the Quran That Proves It Is the Word of God;How is the Quran divided?;What is the difference between God and Allah?
2;There Is a Mathematical Miracle in the Quran That Proves It Is the Word of God;How many times is moon mentioned in the Quran?;Did Muhammad go to heaven on a horse?
3;There Is a Mathematical Miracle in the Quran That Proves It Is the Word of God;How many times is moon mentioned in the Quran?;Which prophet split the sea?
4;There Is a Mathematical Miracle in the Quran That Proves It Is the Word of God;How many times is moon mentioned in the Quran?;What Quran says about Moon?
5;There Is a Mathematical Miracle in the Quran That Proves It Is the Word of God;How many times Quran mentioned in Quran?;During which month was the Quran sent down from heaven?
6;There Is a Mathematical Miracle in the Quran That Proves It Is the Word of God;How many times Quran mentioned in Quran?;How many times is Jesus mentioned in the Quran?
7;There Is a Mathematical Miracle in the Quran That Proves It Is the Word of God;How many times Quran mentioned in Quran?;Who are the ten Sahaba promised Jannah?
8;There Is a Mathematical Miracle in the Quran That Proves It Is the Word of God;How many words does the Quran have?;How many verses in the Quran have Bismillah?
9;There Is a Mathematical Miracle in the Quran That Proves It Is the Word of God;How many words does the Quran have?;How many words are in the Torah?
10;There Is a Mathematical Miracle in the Quran That Proves It Is the Word of God;How many words does the Quran have?;How many words are there in Surah Baqarah?
