;parent;name;inner.name
0;Traditional university has to be replaced by online learning;Can online education replace traditional education?;Is online education better than traditional?
1;Traditional university has to be replaced by online learning;Can online education replace traditional education?;Are online classes cheaper?
2;Traditional university has to be replaced by online learning;Can online courses replace a campus education?;Is E Learning a substitute for classroom learning?
3;Traditional university has to be replaced by online learning;Can online courses replace a campus education?;Is online education as good as classroom learning?
4;Traditional university has to be replaced by online learning;Can online courses replace a campus education?;What is classroom education?
5;Traditional university has to be replaced by online learning;Can online learning be as effective as the traditional classroom?;Is online learning better than classroom?
6;Traditional university has to be replaced by online learning;Can online learning be as effective as the traditional classroom?;What are the advantages of online learning?
7;Traditional university has to be replaced by online learning;Can online learning be as effective as the traditional classroom?;What is the difference between teaching and learning?
8;Traditional university has to be replaced by online learning;Can distance learning replace traditional classes?;Will e learning replace traditional learning?
9;Traditional university has to be replaced by online learning;Can distance learning replace traditional classes?;Is the future of education online?
