;parent;name;inner.name
0;Tuition Fees Should Be Increased;Why has tuition increased so much?;Should college tuition be lowered?
1;Tuition Fees Should Be Increased;Why has tuition increased so much?;Why is university so expensive?
2;Tuition Fees Should Be Increased;Has the cost of college increased?;What will tuition cost 2030?
3;Tuition Fees Should Be Increased;Has the cost of college increased?;Why education is expensive in USA?
4;Tuition Fees Should Be Increased;Has the cost of college increased?;What is the most expensive college?
5;Tuition Fees Should Be Increased;How much does tuition increase each year?;What will college cost 10 years?
6;Tuition Fees Should Be Increased;How much does tuition increase each year?;Is tuition a semester or a year?
7;Tuition Fees Should Be Increased;How much does tuition increase each year?;Does tuition go up every year?
8;Tuition Fees Should Be Increased;What is the average cost of attending a 4 year university?;How do you pay for an expensive college?
9;Tuition Fees Should Be Increased;What is the average cost of attending a 4 year university?;Why is college so expensive?
10;Tuition Fees Should Be Increased;What is the average cost of attending a 4 year university?;How much is Harvard per year?
