;parent;name;inner.name
0;Turkey is not a democracy;What type of government does Turkey have 2018?;What type of economy does Turkey have?
1;Turkey is not a democracy;What type of government does Turkey have 2018?;Is Turkey an ally of the United States?
2;Turkey is not a democracy;Is Turkey a democratic republic?;Is Turkey in the EU 2018?
3;Turkey is not a democracy;Is Turkey a democratic republic?;Is Turkey an Arab country?
4;Turkey is not a democracy;Is Turkey a democratic republic?;Is Turkey a communist state?
5;Turkey is not a democracy;Is Turkey a parliamentary system?;Does Turkey still have a prime minister?
6;Turkey is not a democracy;Is Turkey a parliamentary system?;How many states does Turkey have?
7;Turkey is not a democracy;Is Turkey a parliamentary system?;How often are Turkey elections?
8;Turkey is not a democracy;When did Turkey become a democracy?;Who is the father of modern Turkey?
9;Turkey is not a democracy;When did Turkey become a democracy?;What was Turkey's original name?
10;Turkey is not a democracy;When did Turkey become a democracy?;When did Turkey got independence?
