;parent;name;inner.name
0;USA must sign the Ottawa Convention banning landmines;Did the US sign the Ottawa Treaty?;Are mines illegal?
1;USA must sign the Ottawa Convention banning landmines;Did the US sign the Ottawa Treaty?;What is the ICBL doing to Ban Landmines?
2;USA must sign the Ottawa Convention banning landmines;Which countries have not signed the Ottawa Treaty?;Are chemical weapons banned?
3;USA must sign the Ottawa Convention banning landmines;Which countries have not signed the Ottawa Treaty?;Are cluster bombs against the Geneva Convention?
4;USA must sign the Ottawa Convention banning landmines;Which countries have not signed the Ottawa Treaty?;How many landmines are in the world?
5;USA must sign the Ottawa Convention banning landmines;Are land mines banned?;Who put the landmines in Afghanistan?
6;USA must sign the Ottawa Convention banning landmines;Are land mines banned?;Where are landmines still a problem?
7;USA must sign the Ottawa Convention banning landmines;Are land mines banned?;How many landmine casualties occur annually?
8;USA must sign the Ottawa Convention banning landmines;Can the US use landmines?;Were landmines used in ww2?
9;USA must sign the Ottawa Convention banning landmines;Can the US use landmines?;How can landmines be detected?
10;USA must sign the Ottawa Convention banning landmines;Can the US use landmines?;What organization is trying to ban landmines?
