;parent;name;inner.name
0;University education should be free;Should a college education be free for everyone?;What country has free college?
1;University education should be free;Should a college education be free for everyone?;Why is college so expensive?
2;University education should be free;Should uni fees be free?;Should universities be free to attend?
3;University education should be free;Should uni fees be free?;Should state colleges be free to attend?
4;University education should be free;Should uni fees be free?;Why should college be cheaper?
5;University education should be free;Why should universities not be free?;How do you get all A's in college?
6;University education should be free;Why should universities not be free?;How much would it cost to make college free?
7;University education should be free;Why should universities not be free?;What is a good college GPA?
8;University education should be free;What would happen if college was free?;Why should we have free college?
9;University education should be free;What would happen if college was free?;Is free college possible?
10;University education should be free;What would happen if college was free?;Is college too expensive?
