;parent;name;inner.name
0;Valentines Day is just a Hallmark ploy;Is Valentine's Day just a Hallmark holiday?;Did hallmark create Mother Day?
1;Valentines Day is just a Hallmark ploy;Is Valentine's Day just a Hallmark holiday?;What holiday does Hallmark sell the most cards?
2;Valentines Day is just a Hallmark ploy;How Much Does Hallmark make on Valentine's Day?;Did hallmark invent Father's Day?
3;Valentines Day is just a Hallmark ploy;How Much Does Hallmark make on Valentine's Day?;When did hallmark invent Valentines Day?
4;Valentines Day is just a Hallmark ploy;How Much Does Hallmark make on Valentine's Day?;Who created the first box of Valentines Day candy?
5;Valentines Day is just a Hallmark ploy;Did Hallmark make Valentine's Day?;What is the oldest valentine still in existence today?
6;Valentines Day is just a Hallmark ploy;Did Hallmark make Valentine's Day?;What pagan holiday is Valentine day based on?
7;Valentines Day is just a Hallmark ploy;Did Hallmark make Valentine's Day?;What percent of pet owners give their pets a gift on Valentine's Day?
8;Valentines Day is just a Hallmark ploy;On what day of the week will Valentine's Day be held next year?;Is Valentine's Day always Feb 14?
9;Valentines Day is just a Hallmark ploy;On what day of the week will Valentine's Day be held next year?;What weekday is Valentine's Day 2019?
10;Valentines Day is just a Hallmark ploy;On what day of the week will Valentine's Day be held next year?;Is today Valentine's Day 2019?
