;parent;name;inner.name
0;Violent Video Games Contribute to Youth Violence;Do violent video games contribute to youth violence essay?;Do violent video games encourage players to become violent in real life?
1;Violent Video Games Contribute to Youth Violence;Do violent video games contribute to youth violence essay?;Should violent video games be banned speech?
2;Violent Video Games Contribute to Youth Violence;Do violent video games contribute to youth violence essay?;Do violent video games contribute to violence?
3;Violent Video Games Contribute to Youth Violence;Do violent video games contribute to youth violence essay?;Are video games containing violence appropriate for children?
4;Violent Video Games Contribute to Youth Violence;Do violent video games contribute to youth violence essay?;Do violent games affect children's behavior?
5;Violent Video Games Contribute to Youth Violence;Do violent video games contribute to violence?;Do violent video games make kids angry and cruel?
6;Violent Video Games Contribute to Youth Violence;Do violent video games contribute to violence?;Do violent video games affect youth?
7;Violent Video Games Contribute to Youth Violence;Do violent video games contribute to violence?;Are violent video games bad for youth?
8;Violent Video Games Contribute to Youth Violence;Do violent video games contribute to violence?;Are video games containing violence appropriate for children?
9;Violent Video Games Contribute to Youth Violence;Do violent video games contribute to violence?;Do violent games affect children's behavior?
10;Violent Video Games Contribute to Youth Violence;Are video games containing violence appropriate for children?;Do video games affect children's behavior?
11;Violent Video Games Contribute to Youth Violence;Are video games containing violence appropriate for children?;Are video games containing violence?
12;Violent Video Games Contribute to Youth Violence;Are video games containing violence appropriate for children?;Do violent games affect children's behavior?
13;Violent Video Games Contribute to Youth Violence;Do violent games affect children's behavior?;How do video games affect a child's brain?
14;Violent Video Games Contribute to Youth Violence;Do violent games affect children's behavior?;Why do violent video games cause aggression?
15;Violent Video Games Contribute to Youth Violence;Do violent games affect children's behavior?;Do violent movies cause violence?
