;parent;name;inner.name
0;Violent video games cause violent crime;Do violent video games lead to violence?;How violent video games affect youth?
1;Violent video games cause violent crime;Do violent video games lead to violence?;Are violent video games harmless?
2;Violent video games cause violent crime;Do violent video games cause violence essay?;How violent video games affect the brain?
3;Violent video games cause violent crime;Do violent video games cause violence essay?;How does violent video games cause aggression?
4;Violent video games cause violent crime;Do violent video games cause violence essay?;Why video games are violent?
5;Violent video games cause violent crime;Do violent video games cause violent behavior debate?;Are violent video games bad for youth?
6;Violent video games cause violent crime;Do violent video games cause violent behavior debate?;How violent video games affect children's behavior?
7;Violent video games cause violent crime;Do violent video games cause violent behavior debate?;Do violent movies cause aggression?
8;Violent video games cause violent crime;Are violent video games contributing to violence in the world today?;Do violent video games lead to delinquent behavior?
9;Violent video games cause violent crime;Are violent video games contributing to violence in the world today?;Do video games affect your brain?
10;Violent video games cause violent crime;Are violent video games contributing to violence in the world today?;How do violent video games help?
