;parent;name;inner.name
0;Voting should be compulsory in the UK;Is it compulsory to vote in the UK?;Do I legally have to vote UK?
1;Voting should be compulsory in the UK;Is it compulsory to vote in the UK?;Is it compulsory to register to vote in the UK?
2;Voting should be compulsory in the UK;Should voting be compulsory?;What are the disadvantages of compulsory voting?
3;Voting should be compulsory in the UK;Should voting be compulsory?;Is it compulsory to vote?
4;Voting should be compulsory in the UK;Should voting be compulsory?;Why is voting necessary?
5;Voting should be compulsory in the UK;In what countries is voting mandatory?;Can you get fined for not voting?
6;Voting should be compulsory in the UK;In what countries is voting mandatory?;How is mandatory voting unconstitutional?
7;Voting should be compulsory in the UK;In what countries is voting mandatory?;Is voting a right or a responsibility?
8;Voting should be compulsory in the UK;Do you get fined for not voting UK?;Should voting be compulsory in the UK?
9;Voting should be compulsory in the UK;Do you get fined for not voting UK?;How do I know if I'm on the electoral roll UK?
10;Voting should be compulsory in the UK;Do you get fined for not voting UK?;Who Cannot vote in the UK?
