;parent;name;inner.name
0;Voting should become compulsory;Should voting be compulsory?;Should voting in the UK be compulsory?
1;Voting should become compulsory;Should voting be compulsory?;What is the penalty for not voting in Australia?
2;Voting should become compulsory;What countries have compulsory voting laws?;
3;Voting should become compulsory;What countries have compulsory voting laws?;
4;Voting should become compulsory;What countries have compulsory voting laws?;
5;Voting should become compulsory;Is voting mandatory in USA?;Should compulsory voting be allowed?
6;Voting should become compulsory;Is voting mandatory in USA?;Is voting a right or a responsibility?
7;Voting should become compulsory;Is voting mandatory in USA?;What is the penalty for not voting in Belgium?
8;Voting should become compulsory;Why did Australia make voting compulsory?;Do you get fined for not voting UK?
9;Voting should become compulsory;Why did Australia make voting compulsory?;Is it compulsory to be on the electoral roll?
10;Voting should become compulsory;Why did Australia make voting compulsory?;Why is voting important in Australia?
