;parent;name;inner.name
0;Water Should Be Owned And Supplied By The State;Who controls water resources in the US?;What is the biggest use of water in the US?
1;Water Should Be Owned And Supplied By The State;Who controls water resources in the US?;What are the two largest uses of water in the United States?
2;Water Should Be Owned And Supplied By The State;Is Water privatized in the US?;Is public water free?
3;Water Should Be Owned And Supplied By The State;Is Water privatized in the US?;Is water privatized?
4;Water Should Be Owned And Supplied By The State;Is Water privatized in the US?;Is water a public or private good?
5;Water Should Be Owned And Supplied By The State;When was the water industry Privatised?;When was the UK water industry Privatised?
6;Water Should Be Owned And Supplied By The State;When was the water industry Privatised?;Who owns the water companies in England?
7;Water Should Be Owned And Supplied By The State;When was the water industry Privatised?;How many water companies are there in England?
8;Water Should Be Owned And Supplied By The State;Who owns the water companies?;Who owns Southern Water?
9;Water Should Be Owned And Supplied By The State;Who owns the water companies?;What energy companies are British owned?
10;Water Should Be Owned And Supplied By The State;Who owns the water companies?;How do water companies get water?
