;parent;name;inner.name
0;We have to cut the length of copyright protection;Is there a time limit on copyright?;Can copyrights be extended?
1;We have to cut the length of copyright protection;Is there a time limit on copyright?;Why does copyright last so long?
2;We have to cut the length of copyright protection;How long is copyright protection?;How long do current US laws grant copyright protection?
3;We have to cut the length of copyright protection;How long is copyright protection?;What qualifies for copyright protection?
4;We have to cut the length of copyright protection;How long is copyright protection?;Is a poor man's copyright legal?
5;We have to cut the length of copyright protection;Is copyright duration too long?;Does copyright expire?
6;We have to cut the length of copyright protection;Is copyright duration too long?;How do you know if a copyright has expired?
7;We have to cut the length of copyright protection;Is copyright duration too long?;What is fair use of copyrighted material?
8;We have to cut the length of copyright protection;Do copyrights last forever?;What is not protected by copyright?
9;We have to cut the length of copyright protection;Do copyrights last forever?;How long do Copyrights last in Canada?
10;We have to cut the length of copyright protection;Do copyrights last forever?;Are copyrights forever?
