;parent;name;inner.name
0;We have to produce high quality generic drugs for Africa;Are generic drugs less effective?;Are generics as good as brand?
1;We have to produce high quality generic drugs for Africa;Are generic drugs less effective?;What is difference between generic and branded?
2;We have to produce high quality generic drugs for Africa;What does Generic Drug mean?;Is generic Allegra as good as name brand?
3;We have to produce high quality generic drugs for Africa;What does Generic Drug mean?;Why are generic drugs cheaper?
4;We have to produce high quality generic drugs for Africa;What does Generic Drug mean?;Why are generic drugs so expensive?
5;We have to produce high quality generic drugs for Africa;Are generic drugs from India safe?;How much cheaper are generic drugs?
6;We have to produce high quality generic drugs for Africa;Are generic drugs from India safe?;What drugs are going generic in 2018?
7;We have to produce high quality generic drugs for Africa;Are generic drugs from India safe?;Do generic drugs work as well as brand name?
8;We have to produce high quality generic drugs for Africa;How does FDA know that a generic drug is safe and effective?;Do all generic drugs work the same?
9;We have to produce high quality generic drugs for Africa;How does FDA know that a generic drug is safe and effective?;Can generics have different side effects?
10;We have to produce high quality generic drugs for Africa;How does FDA know that a generic drug is safe and effective?;How long until generic drugs are available?
