;parent;name;inner.name
0;We must disband NATO;Why did France pull out of NATO?;Why did France leave NATO 1966?
1;We must disband NATO;Why did France pull out of NATO?;Are the French part of NATO?
2;We must disband NATO;Does Russia belong to NATO?;What does NATO do for the world?
3;We must disband NATO;Does Russia belong to NATO?;Why is Austria not in NATO?
4;We must disband NATO;Does Russia belong to NATO?;What does NATO do for the United States?
5;We must disband NATO;Is Crimea in NATO?;Is Taiwan in NATO?
6;We must disband NATO;Is Crimea in NATO?;Is Belarus in NATO?
7;We must disband NATO;Is Crimea in NATO?;Which country owns Crimea?
8;We must disband NATO;What countries are not part of NATO?;Is Pakistan member of NATO?
9;We must disband NATO;What countries are not part of NATO?;Which country joined NATO recently?
10;We must disband NATO;What countries are not part of NATO?;Is Australia part of NATO?
