;parent;name;inner.name
0;We must extend NATO membership to Georgia and Ukraine;Why did Ukraine not join NATO?;Is Crimea part of Ukraine?
1;We must extend NATO membership to Georgia and Ukraine;Why did Ukraine not join NATO?;Is Taiwan in NATO?
2;We must extend NATO membership to Georgia and Ukraine;Can Georgia join NATO?;When did Georgia join NATO?
3;We must extend NATO membership to Georgia and Ukraine;Can Georgia join NATO?;Is Georgia in European Union?
4;We must extend NATO membership to Georgia and Ukraine;Why has NATO expanded?;Does NATO have special forces?
5;We must extend NATO membership to Georgia and Ukraine;Why has NATO expanded?;Where is NATO currently deployed?
6;We must extend NATO membership to Georgia and Ukraine;Why has NATO expanded?;Does NATO have an army?
7;We must extend NATO membership to Georgia and Ukraine;Why is Finland not in NATO?;Why is Ireland not in NATO?
8;We must extend NATO membership to Georgia and Ukraine;Why is Finland not in NATO?;Why did countries join NATO?
9;We must extend NATO membership to Georgia and Ukraine;Why is Finland not in NATO?;Was Finland part of Sweden?
