;parent;name;inner.name
0;We must limit anonymous contributions from corporations and individuals to super PACs;Can corporations contribute to super PACs?;Can a corporation donate to a PAC?
1;We must limit anonymous contributions from corporations and individuals to super PACs;Can corporations contribute to super PACs?;How much money can a corporation give to a candidate?
2;We must limit anonymous contributions from corporations and individuals to super PACs;How much can corporations donate to Super PACs?;How much can a corporation donate to a PAC?
3;We must limit anonymous contributions from corporations and individuals to super PACs;How much can corporations donate to Super PACs?;What is the difference between PACs and Super PACS?
4;We must limit anonymous contributions from corporations and individuals to super PACs;How much can corporations donate to Super PACs?;Are super PACs tax exempt?
5;We must limit anonymous contributions from corporations and individuals to super PACs;How much money can a PAC contribute per candidate in an election?;How much can a super PAC contribute to a candidate per election cycle?
6;We must limit anonymous contributions from corporations and individuals to super PACs;How much money can a PAC contribute per candidate in an election?;What is the term for a form of fundraising in which an individual persuades others to donate to a candidate or campaign large amounts that are then delivered together?
7;We must limit anonymous contributions from corporations and individuals to super PACs;How much money can a PAC contribute per candidate in an election?;What is the maximum amount you can donate to a presidential campaign?
8;We must limit anonymous contributions from corporations and individuals to super PACs;Do super PACs need to disclose donors?;Can Super PACs give money to candidates?
9;We must limit anonymous contributions from corporations and individuals to super PACs;Do super PACs need to disclose donors?;How and why do PACs spend money?
10;We must limit anonymous contributions from corporations and individuals to super PACs;Do super PACs need to disclose donors?;Do 501c4 have to disclose donors?
